,Prostate_03-138A_prednisone,Prostate_03-135C_none,Prostate_03-158F_none,Prostate_03-155C_low-fat_diet,Prostate_03-143C_none,Prostate_03-060A_none,Prostate_03-066C_none_GL3,Prostate_03-066C_none_GL4,Prostate_03-159_none,Prostate_03-021F_selenium,Prostate_02-003E_none,Prostate_03-207C_fish_oil,Prostate_04-023C_none,Prostate_03-115E_none_GL4,Prostate_03-068D_no_neoadjuvant_GL5,Prostate_03-068D_no_neoadjuvant_GL3,Prostate_03-141C_none,Prostate_02-053C_none,Prostate_04-030A_none,Prostate_03-093D_none,Prostate_03-089D_selenium,Prostate_03-184C_none,Prostate_03-152A_Vit_E,Prostate_03-029B_none,Prostate_03-015F_no_neoadjuvant,Prostate_03-119D_none,Prostate_03-140B_fish_oil,Prostate_03-115E_none_GL5,Prostate_03-116C_none,Prostate_03-063A_none,Prostate_03-055H_Vit_E
G90755_AW073095_HDGF,0.62,0.05,1.14999998,0.29300001,1.36600006,0.25999999,0.13500001,-0.824,0.024,0.62699997,-0.28600001,0.63,0.25799999,0.42899999,0.289,-0.21799999,0.30899999,-1.86500001,0.168,-0.29899999,-0.57499999,0.26199999,0.46000001,0.33399999,0.39899999,-0.153,0.958,0.098,-0.36500001,0.093,0.132
G90756_AB075852_KIAA1972,0.36300001,-0.71899998,0.131,0.227,1.22300005,0.094,0.48500001,-0.23199999,-1.06400001,-0.148,-0.73900002,-0.007,-0.54400003,-0.147,-0.48500001,-0.829,-1.31099999,-2.59299994,-0.148,0.132,-0.147,0.45500001,-0.27500001,-0.057,0.27200001,-0.112,0.93800002,-0.479,-0.52100003,-0.58499998,-0.006
G90757_CF125568_C20orf14,-0.105,0.495,-1.26699996,-0.182,-0.59299999,-0.061,-0.112,-0.044,0.154,-0.2,0.28099999,-0.27399999,-0.038,0.331,-0.44499999,-0.15899999,-0.491,0.41999999,-0.34599999,-0.38299999,-0.58999997,-0.43700001,-0.197,0.067,-0.191,0.132,-0.36399999,-0.43399999,-0.185,-0.214,-0.052
G90758_AC080089_0,0.333,-0.28799999,-0.46200001,-0.23999999,-0.20200001,0.063,0.29699999,0.15700001,-0.88,-0.32600001,-1.76600003,-0.73000002,0.049,0.055,-0.215,0.255,-0.21699999,-0.163,0.40099999,0.167,-0.161,0.18799999,-0.671,0.14300001,-0.17399999,0.086,0.72500002,-0.331,0.26699999,1.41700006,-0.64899999
G90759_BM706759_FLJ10099,-0.493,-0.112,-1.35800004,-1.08700001,-0.81999999,-0.192,0.068,-0.06,-1.19000006,-0.52700001,-0.69700003,-0.44299999,0.041,-0.77200001,0.031,-0.375,-1.35899997,0.204,-0.34799999,-0.41100001,0.056,-0.449,-0.49700001,-0.36300001,-0.759,-0.18700001,-1.25100005,-1.98500001,-0.62599999,-0.64200002,-0.35699999
G90760_BE552196_POLD4,0.077,0.287,-0.322,-0.069,-0.084,-0.54299998,-0.685,-0.019,0.37099999,-0.037,-0.32800001,-0.52399999,0.212,-0.82499999,0.27599999,-0.20200001,-0.509,-0.212,-0.28099999,0.115,-0.37400001,-0.26499999,-0.037,-0.773,-0.88599998,-0.14300001,0.66100001,-0.46399999,0.134,-0.58099997,-0.108
G90762_AL553289_F11R,0.77999997,-0.21799999,-0.83600003,-0.322,-0.99000001,0.125,0.352,0.11,-1.102,-0.33500001,1.05200005,-0.65399998,0.39899999,0.164,-0.114,0.39300001,-0.112,0.067,-0.237,-0.1,-0.81999999,-0.52399999,-1.09899998,0.273,-0.22499999,0.33000001,-0.104,-0.97000003,-0.204,0.333,-0.28099999
G90763_AA429454_GAPD,0.122,0.235,-1.65699995,0.35299999,-1.36500001,-0.26800001,-0.041,0.015,0.50099999,0.205,-1.07299995,0.66399997,0.147,-0.53600001,0.063,-0.029,0.133,0.29899999,-0.44400001,0.65600002,-0.002,-0.43700001,0.676,0.59799999,-0.995,0.237,-0.35800001,-0.23,0.28799999,0.62599999,0.169
G90764_CR994153_MED8,0.054,0.34400001,0.52999997,0.27399999,-0.133,-0.193,0.066,0.17200001,0.57200003,0.14,0.31,0.48300001,-0.063,-0.113,0.154,0.24600001,0.59600002,-0.236,-0.28999999,0.011,0.45300001,-0.191,0.84399998,0.099,-0.25999999,0.134,0.87400001,0.027,-0.18000001,-0.002,0.65799999
G90765_AW272381_N-PAC,-0.55500001,-0.221,0.792,0.53799999,0.98799998,0.38999999,-0.05,-0.433,1.35300004,-0.37900001,0.398,-1.22099996,-0.77999997,0.124,0.97100002,-0.65200001,0.72000003,-0.67400002,1.796,1.02499998,0.38600001,0.51999998,1.55499995,-0.085,0.032,0.42199999,0.94300002,-0.373,-0.025,-0.79100001,-0.16599999
G90766_NM_004231_ATP6V1F,-0.066,0.86900002,0.65499997,0.257,0.66799998,0.208,-0.167,-0.442,1.20099998,0.213,-0.47400001,0.56800002,-0.134,0.861,1.00199997,-0.07,0.83099997,-0.011,0.61199999,0.824,0.419,0.42399999,1.26100004,0.23899999,-0.26499999,0.184,0.55299997,1.22800004,0.55400002,0.17200001,0.245
G90767_BC008914_MIF,-0.002,0.223,-0.221,-0.066,-0.22400001,0.092,0.72899997,-0.27399999,0.65499997,0.168,-0.26499999,-0.056,-0.125,0.18700001,0.80000001,-0.65200001,-0.011,0.52600002,0.213,-0.132,0.509,0.102,0.094,0.176,-0.66299999,0.062,-0.085,0.616,0.185,-0.30000001,0.189
G90768_NM_006549_CAMKK2,2.12199998,1.49399996,2.46199989,1.34300005,1.05999994,1.24899995,0.87599999,0.903,2.06399989,2.05800009,3.0769999,1.15999997,1.69599998,1.93200004,2.65100002,1.08399999,1.25800002,1.37699997,0.70099998,-0.5,2.46399999,1.18900001,2.5150001,1.55299997,0.98100001,0.066,0.32499999,1.60699999,0.60399997,0.106,1.505
G90769_AW948775_NSD1,-0.26899999,-0.45300001,-1.50999999,-0.37099999,-0.55199999,0.15800001,0.36399999,0.065,-0.24600001,-0.722,-0.861,-0.199,-0.025,-0.447,0.2,-0.002,-0.55299997,0.23199999,0.032,0.214,-0.285,-0.192,-0.764,-0.204,-0.59200001,0.01,-0.72399998,-0.93699998,-0.34099999,0.31999999,0.133
G90770_BQ933703_RGS3,0.118,-0.005,1.01499999,0.072,0.058,0.208,0.095,0.142,0.193,0.24699999,0.426,0.36899999,0.049,0.15099999,0.838,0.76599997,0.92000002,-0.126,0.38800001,0.88200003,0.33500001,0.34,0.036,0.382,0.031,0.30899999,0.22,0.223,0.29800001,-0.64099997,0.27000001
G90771_CN404132_NPM1,1.26100004,0.171,1.05999994,0.50199997,1.90699995,0.125,-0.82599998,0.112,1.69500005,0.92799997,-1.93099999,2.25,0.428,2.03600001,0.71700001,0.156,1.53400004,-0.124,0.222,0.96899998,0.176,0.977,0.884,0.213,1.36399996,0.17,1.60800004,1.20500004,0.91900003,1.06099999,0.65200001
G90772_CR619747_APEG1,-0.64600003,0.32800001,-0.96899998,-1.08200002,0.19400001,-0.27200001,-0.055,0.09,-0.421,-0.32499999,0.47499999,-0.103,0.65200001,-0.039,-0.82700002,0.014,-0.77399999,-0.121,-0.037,-0.23100001,0.048,0.35499999,-1.125,-0.14399999,-0.23100001,-0.183,-0.211,-0.39700001,0.31,-0.653,-0.79699999
G90773_BU177404_MCPH1,0.58700001,-0.17,1.24000001,0.01,1.30200005,0.19599999,0.44499999,-0.082,-1.37,0.396,0.237,-0.271,-0.259,0.062,0.016,-0.414,0.248,-2.76200008,1.125,0.204,-0.373,1.41799998,-1.11600006,0.139,0.32800001,-0.315,1.301,0.124,-0.082,0.35100001,0.38100001
G90774_BC040946_HSPC148,0.30000001,0.23899999,-0.145,0.40700001,0.112,0.005,-0.102,0.031,0.89899999,0.197,1.49300003,0.91100001,0.17299999,0.11,0.396,0.178,0.69199997,-0.47299999,0.373,0.405,0.36300001,0.07,0.053,0.029,0.042,0.46200001,0.146,1.24699998,0.403,-0.147,0.56900001
G90775_AW160865_COX7A2L,-0.64700001,-0.108,1.03799999,1.23000002,0.16,-0.101,-1.028,0.161,0.80299997,-0.061,-0.75700003,0.008,0.052,0.25999999,1.15100002,-0.34,1.01499999,0.14399999,0.014,0.168,1.04900002,0.73500001,0.838,-0.384,-0.51499999,0.101,-0.65799999,0.73100001,0.20999999,-0.175,0.47
G90776_0_0,-0.391,-0.56400001,1.42200005,-0.391,0.31600001,0.37099999,-0.26499999,0.07,-0.059,-0.28299999,1.528,0.89700001,0.29499999,0.085,-0.671,0.118,0.29800001,-0.65100002,-0.405,0.47999999,0.352,0.352,-1.31700003,-0.54799998,0.001,-0.25299999,-0.329,0.46700001,-0.39199999,-1.48899996,0.035
G90778_BX377953_AUP1,-0.5,0.71499997,-0.433,0.036,0.164,-0.156,-0.25099999,0.205,0.066,-0.06,0.30399999,-0.22,-0.013,0.73400003,0.67900002,0.38800001,1.046,-0.147,1.21300006,0.038,0.115,0.236,1.00999999,0.38299999,-0.069,0.37200001,0.035,1.22899997,0.83899999,-0.108,1.79900002
G90779_CR624010_SLC25A17,-0.04,-1.09800005,-2.16599989,-1.10000002,-1.55400002,-0.39500001,0.131,0.005,-2.09800005,-1.17999995,-3.898,-1.04799998,0.32600001,-0.85100001,-0.801,0.28799999,-1.22399998,0.141,0.184,0.079,-0.70700002,-0.5,-1.58599997,-0.034,-0.352,-0.257,-1.20299995,-2.91499996,0.012,1.06900001,-1.36099994
G90781_AF131809_SDCBP2,0.092,1.87399995,1.04799998,-0.022,1.255,-0.079,-0.34,-0.84600002,0.169,-0.235,0.30899999,-0.014,0.463,-0.237,0.61699998,-0.46000001,-1.48000002,-1.34899998,0.75,-1.73500001,-0.70899999,0.273,1.95200002,0.013,-0.114,-0.472,1.25699997,0.033,-0.616,-0.96200001,0.078
G90782_NM_020532_RTN4,0.223,0.14300001,-0.23199999,0.1,-0.12899999,0.197,-0.46200001,-0.119,0.208,0.228,1.02600002,0.223,-0.103,0.183,0.60699999,0.69400001,-0.078,0.11,-0.117,0.045,-0.24600001,-0.124,0.565,0.26699999,0.21699999,-0.17399999,0.094,-0.352,0.152,0.62199998,0.27900001
G90783_CA502894_SNX3,-0.95999998,-3.33299994,-2.0769999,0.62599999,-2.1329999,-1.58399999,-0.82200003,-3.02399993,-3.57800007,-2.20700002,1.00800002,-2.87899995,-1.329,-1.35099995,-2.67000008,-4.92799997,-1.62300003,-2.11599994,1.61000001,-1.38800001,-2.66000009,-1.63600004,-0.699,-1.60399997,-2.98799992,-3.2019999,-4.56400013,-2.18199992,-4.72300005,-2.50399995,-2.69499993
G90784_0_0,0.064,-1.67799997,-3.68600011,-1.13100004,-2.40799999,0.403,1.32700002,0.141,-2.05500007,-0.23999999,-1.27900004,-0.249,0.105,-1.95599997,-0.41600001,0.45100001,-1.05299997,-0.02,0.44499999,0.103,-0.76300001,-0.09,-2.28200006,0.055,-0.78799999,0.211,-0.63499999,-1.5,-0.93599999,-0.54699999,0.127
G90785_BY799589_GNRH2,0.43200001,-0.146,0.82700002,-0.012,0.036,0.123,0.036,0.153,-0.359,0.125,-0.112,-0.046,-0.27700001,0.273,-0.25600001,0.13500001,-0.33199999,-0.096,0.086,-0.066,-0.36899999,-0.053,-0.112,0.094,-0.373,-0.046,0.62699997,0.106,-0.27900001,0.33199999,0.39399999
G90786_BM716108_HSPC117,0.16500001,0.001,1.31200004,0.32800001,1.56099999,0.168,0.40900001,-0.242,-0.55900002,-0.175,-0.213,-0.25799999,-0.602,0.51499999,-1.15699995,-0.12800001,-0.084,-2.77200007,0.43200001,0.26499999,-0.51099998,1.05400002,0.145,0.27599999,0.74299997,-0.115,1.597,0.37,-0.20900001,0.89600003,0.28600001
G90787_BU680339_MUC1,0.084,0.49399999,-0.382,0.44,0.377,-0.193,-0.198,0.126,0.67299998,0.33500001,-0.69599998,0.57499999,0.208,0.338,-0.778,-0.016,0.92299998,0.182,-0.19599999,0.26899999,0.19,-0.34599999,0.28299999,-0.05,0.19499999,0.23899999,-0.32300001,0.773,0.084,-0.064,0.89499998
G90788_BC068067_SLC25A3,-1.66299999,0.65399998,-1.37100005,-1.00699997,0.116,-0.53100002,-0.025,-0.375,-0.667,-0.134,-1.89499998,-0.98699999,0.67000002,-0.198,-1.44799995,0.64499998,-0.60799998,-0.094,0.62199998,-0.484,0.32499999,-0.43399999,-0.91299999,-0.75400001,-0.35699999,-0.044,-0.51099998,-0.78299999,1.11099994,-1.13,-2.72900009
G90789_AK024956_MAML3,0.28,-0.65200001,-0.066,-0.169,0.53100002,-0.029,0.34099999,-0.023,-1.20799994,0.077,-0.65100002,-0.70899999,0.23199999,-0.67699999,-0.48199999,0.243,-0.167,-0.83899999,0.53899997,0.345,-0.76999998,0.32100001,-1.21599996,0.23100001,-0.142,-0.226,0.76599997,-1.42499995,-0.054,0.95899999,-0.537
G90791_BQ432824_RP42,0.014,-0.847,-2.04999995,-0.64600003,-1.32599998,-0.33899999,0.024,0.048,-1.50100005,-0.63200003,-3.05699992,-0.64200002,0.36399999,-0.958,-0.61000001,0.19400001,-0.71700001,0.34900001,0.037,0.054,-0.447,-0.41600001,-1.15900004,-0.19400001,-0.60399997,-0.113,-1.48199999,-2.02900004,-0.15099999,0.90600002,-0.91600001
G90792_AK074324_ANKFY1,-0.26199999,0.52499998,-0.324,0.38699999,-0.55299997,-0.147,-0.54100001,0.006,0.68800002,-0.016,-0.39300001,-0.142,0.55500001,0.71399999,-0.1,-0.47299999,-0.096,0.77499998,-0.28799999,-0.329,-0.2,-0.38,0.208,0.20100001,0.051,0.067,0.075,0.70700002,0.079,-0.21799999,0
G90793_BU730838_PDHA1,1.671,1.66299999,3.37100005,-0.93000001,1.03999996,0.48100001,1.07500005,0.472,-0.61900002,3.37299991,0.117,-0.57200003,1.49800003,0.26100001,-0.653,1.40699995,-2.36299992,1.28199995,-2.58899999,3.31200004,1.36399996,1.72899997,-1.91700006,-0.29300001,0.233,1.62300003,0.377,-2.49600005,0.912,1.69200003,0.491
G90794_BU931209_LDLR,0.76300001,0.28400001,1.13199997,0.40200001,1.09399998,0.29699999,0.041,0.039,1.53900003,0.58200002,1.41499996,0.95300001,-0.736,1.00100005,0.48899999,-0.18000001,0.61199999,0.176,-0.76599997,0.347,0.17,1.04400003,1.56500006,-0.152,0.21799999,0.21600001,0.44800001,1.46399999,-0.17200001,-0.31299999,0.579
G90795_AL133583_MBTPS1,-0.045,0.45699999,-0.037,-0.147,0.062,0.153,-0.138,-0.044,0.94499999,0.20200001,0.177,0.32100001,-0.049,0.027,1.36899996,0.25299999,-0.41,0.30899999,0.001,-0.15899999,0.35600001,-0.019,0.66299999,-0.066,0.60399997,0.243,0.19,0.46700001,-0.062,-0.108,0.54000002
G90797_CR616132_GOT1,0.373,-0.74199998,1.06500006,0.011,0.463,0.54299998,0.24699999,-0.31299999,1.38399994,0.42899999,2.3599999,0.479,-0.39300001,1.04100001,-0.704,-0.41299999,0.54400003,-0.53100002,0.34799999,0.099,-0.006,0.169,1.61300004,-0.442,0.40099999,0.32499999,0.53200001,1.13699996,0.183,-0.27000001,0.74599999
G90798_0_0,0.574,-0.208,-1.07799995,-0.308,0.089,0.16500001,0.226,0.56400001,0.014,-1.07799995,0.86900002,0.62199998,-1.33500004,0.477,0.514,-0.19400001,-0.639,0.03,-1.08599997,-1.43599999,-0.07,0.014,0.36199999,0.01,0.31799999,0.28099999,-0.92900002,0.58600003,-0.59399998,0.088,-0.077
G90799_NM_004346_CASP3,0.56199998,0.39500001,0.26100001,-0.101,-0.024,0.026,-0.21699999,0.154,0.67799997,0.243,-0.86500001,0.45199999,-0.18000001,-0.37099999,0.60900003,-0.248,-0.244,-0.373,-0.138,-0.29800001,0.077,0.094,1.28499997,-0.47,-0.227,0.069,0.011,0.48100001,0.066,-0.48300001,0.67400002
G90800_CR594236_LCK,0.018,0.442,-0.097,-0.021,-0.039,-0.33199999,-0.065,-0.028,0.368,0.121,-0.182,0.60500002,0.44299999,-0.54900002,-0.79400003,0.146,-1.07599998,0.091,-0.228,0.55800003,-0.421,0.011,-2.57299995,0.169,-0.018,0.092,0.16500001,-0.671,0.52700001,-0.88099998,-0.28600001
G90801_M21574_PDGFRA,-1.10500002,0.68599999,-0.662,-2.4460001,0.73799998,0.62800002,0.145,0.089,-1.10099995,0.18000001,0.46700001,-0.077,0.59500003,-0.403,-0.91100001,-0.33399999,-1.36699998,-0.36899999,-1.597,1.39400005,-0.90899998,0.85600001,-0.875,-0.92400002,-0.47099999,0.384,0.119,-0.345,1.09500003,-1.75800002,-1.69299996
G90802_N77275_RAD23B,-0.034,-0.875,-2.30800009,-0.68599999,-2.20700002,-0.303,0.285,0.131,-1.34099996,-0.48699999,-3.09100008,-0.64499998,0.105,-1.56799996,-0.102,0.27900001,-0.662,0.45199999,-0.039,0.049,-0.456,-0.51700002,-1.31099999,-0.103,-0.44299999,-0.104,-1.33800006,-2.36599994,-0.048,1.28600001,-1.08700001
G90803_BU150837_GPR34,0.182,0.47799999,-0.145,0.491,-0.127,0.26800001,0.28600001,0.17399999,0.289,-0.237,-1.10000002,-0.004,0.67799997,-0.189,1.50100005,0.076,0.454,0.278,-1.63399994,0.977,-0.059,-0.199,0.986,-0.142,-0.39899999,0.27500001,-0.05,0.40599999,-0.57200003,-0.208,0.68000001
G90804_BC008915_SERPINA5,-0.068,-0.086,-0.41499999,-0.096,-0.19400001,-0.162,0.51599997,-0.15800001,-0.095,-0.147,0.197,-0.60699999,-0.21699999,0.33500001,0.60299999,-0.189,0.057,0.17,-0.01,0.111,-0.039,-0.19,0.074,-0.153,-0.26800001,0.17399999,0.102,0.396,-0.071,-0.347,0.30700001
G90805_BX647310_PRDM2,0.221,-0.55599999,0.255,-0.33399999,0.28400001,0.227,0.033,0.121,0.329,0.43799999,1.347,0.53299999,0.075,-0.51800001,-0.068,0.38100001,0.114,-0.45199999,0.26300001,-0.77200001,-0.13699999,0.28200001,-0.74699998,-0.35600001,-0.04,-0.102,0.18000001,-0.414,-0.145,-1.12800002,-0.30599999
G90806_0_0,1.34200001,-0.36199999,0.13699999,-0.08,0.41100001,-0.21699999,-0.095,-0.82300001,0.83999997,0.68099999,1.02699995,0.303,0.015,-0.54900002,0.091,-0.38699999,0.025,-0.052,-0.13600001,0.244,-0.331,-0.235,-0.31799999,0.081,-0.463,0.088,0.012,0.461,-0.23100001,-0.949,0.22499999
G90807_0_0,0.278,0.995,-0.71499997,0.045,-0.50800002,-0.28999999,0.19499999,-0.025,0.43799999,0.32800001,-0.88700002,-0.30199999,-0.78500003,0.063,0.45100001,-0.20999999,0.31799999,1.00199997,0.05,0.235,0.162,-0.44999999,0.722,-0.084,-0.727,0.461,0.396,0.98000002,-0.83899999,0.191,0.442
G90808_0_0,0.145,0.053,-0.186,0.36899999,-0.215,-0.27399999,0.38499999,0.099,0.75,0.25799999,-0.278,-0.065,0.142,-0.125,-0.18799999,-0.249,-0.008,0.033,0.115,-0.352,0.182,-0.30899999,-0.461,0.003,-0.027,0.126,0.23800001,0.461,-0.21699999,-0.46799999,0.18000001
G90809_M36711_TFAP2A,-0.22400001,-0.141,-0.37200001,-0.19499999,-0.21799999,0.184,-0.32100001,-0.243,0.83399999,0.003,-0.79900002,0.186,0.084,-0.208,0.34599999,-0.116,-0.062,-0.042,-0.22,-0.252,-0.495,-0.46799999,0.61000001,-0.338,-0.40000001,0.161,0.119,-0.498,-0.43099999,-0.89499998,-0.019
G90810_U37529_TAC1,0.178,0.226,0.32100001,-0.02,-0.193,0.498,0.185,0.086,-1.90799999,1.11199999,0.48800001,-0.033,0.85900003,1.10000002,-4.67299986,-1.47599995,-1.04400003,0.111,-0.68199998,-0.484,0.78200001,0.237,-1.01900005,-0.67400002,-0.117,0.85299999,0.029,3.51799989,-1.29799998,-0.667,-0.38800001
G90811_BC000656_NOL1,0.861,-0.33700001,-0.35100001,-0.333,0.047,0.222,-0.05,0.25600001,-0.114,0.26100001,0.653,0.76599997,-0.016,-1.01900005,-0.34099999,0.255,-0.42699999,-0.2,-0.64899999,-0.76200002,-0.71399999,-0.76099998,0.11,0.36700001,-0.66900003,-0.139,0.39899999,-0.51999998,0.051,0.49700001,0.016
G90812_AA496512_NME2,1,0.99400002,1.051,0.433,0.60699999,0.022,-0.39399999,0.708,1.42299998,1.11399996,-0.054,1.04799998,-0.32100001,0.72500002,0.94099998,1.03600001,1.09800005,0.99400002,0.28999999,0.29899999,0.25,0.30000001,1.20799994,0.92199999,0.98400003,0.331,0.30599999,0.46900001,1.60399997,1.64600003,-0.50400001
G90813_0_0,0.62400001,0.40099999,0.068,0.30700001,-0.34099999,-0.03,0.338,0.244,0.84100002,0.75300002,0.27500001,0.014,0.145,0.171,0.46799999,0.15899999,0.55900002,0.44800001,0.132,1.38600004,-0.88200003,0.917,-0.85799998,0.741,-0.23800001,-0.419,0.45100001,0.16,0.38,0.38499999,0.44100001
G90814_AW772185_MSTP9,0.112,-0.27700001,-0.398,0.003,-0.55000001,0.083,0.331,0.12800001,-0.043,-0.25400001,0.47400001,0.041,-0.18099999,-0.62400001,-1.19599998,0.66900003,-1.46399999,0.53100002,-0.41999999,0.053,-0.99400002,-0.211,-1.37199998,0.20900001,-0.186,-0.259,0.206,-0.287,-0.206,-0.70300001,-0.47299999
G90815_W74395_LTA,-0.25799999,0.124,-1.102,-0.014,-0.041,-0.87199998,0.273,-0.009,0.42300001,0.011,-0.433,-0.169,-0.155,0.064,0.51099998,-0.28799999,-0.112,0.331,-0.49700001,0.037,0.071,-0.007,-0.51999998,0.241,-0.45899999,0.124,1.01400006,0.37900001,0.498,0.006,0.64499998
G90816_NM_002185_IL7R,0.24699999,0.634,-0.061,-0.16,0.22,-0.09,0.176,-0.072,0.125,0.23800001,-1.52600002,-0.17200001,0.53799999,-0.067,-2.93400002,-0.70499998,-0.972,-0.43900001,-0.124,-0.064,-0.43599999,0.81199998,-3.38800001,0.479,-0.103,-0.156,0.168,-0.60000002,0.034,-1.04900002,-0.86900002
G90817_BQ924092_IER2,2.27200007,1.03600001,2.26600003,-2.17199993,2.24399996,0.21699999,0.76800001,0.49700001,-1.87399995,0.043,-0.95099998,-0.92299998,0.019,-1.08399999,-0.105,1.56700003,-1.87300003,-1.07299995,-1.375,-0.98299998,-0.40599999,1.28100002,0.472,2.34800005,1.88300002,-0.44800001,-0.023,-2.46600008,-0.029,-0.119,-2.37100005
G90818_0_0,0.57700002,0.31099999,0.368,0.29300001,0.182,-0.047,-0.097,-0.22,1.16100001,0.86900002,0.60900003,0.55199999,0.45100001,-0.57099998,1.06299996,0.38299999,1.204,0.234,-0.52700001,0.31999999,0.077,-0.119,0.53200001,0.117,0.26699999,-0.058,0.25099999,0.67799997,0.27900001,0.226,0.75099999
G90820_BC019873_HSPC121,-0.003,0.71799999,0.421,0.35800001,-0.62,-0.2,-0.077,-0.44,0.50300002,-0.32699999,-0.183,0.60500002,0.41600001,0.90200001,0.104,-0.081,-0.029,0.428,0.153,-0.065,1.62899995,-0.053,0.94999999,0.047,-0.64700001,-0.40900001,-1.48300004,0.95499998,-0.56400001,-0.55800003,0.059
G90821_BC005836_EPS8,-0.16500001,0.124,2.204,-2.24499989,0.63599998,0.35299999,-0.78799999,-0.94400001,0.124,0.077,2.1559999,0.242,0.23100001,-0.182,1.06599998,-0.20900001,-0.96100003,-0.66500002,-0.87599999,0.116,-0.023,0.98100001,0.206,-0.60799998,-0.035,-0.32800001,-0.206,-0.42300001,0.69300002,-1.19799995,-1.03499997
G90822_BX089479_CASP6,-0.15000001,-0.38499999,-1.90900004,-0.685,-1.5,-0.34900001,0.15000001,-0.016,-1.48899996,-0.155,-3.43700004,-1.05299997,0.27399999,-0.91500002,-0.058,0.193,-0.53799999,0.18700001,0.004,0.058,-0.50599998,-0.55900002,-0.78299999,-0.049,-0.70200002,-0.052,-1.41799998,-2.13400006,-0.26699999,0.88700002,-1.046
G90824_CV408203_ARL2BP,-0.052,-1.005,-2.28800011,-1.01900005,-1.53999996,-0.33000001,0.132,-0.007,-2.13700008,-0.98900002,-3.73600006,-0.98500001,0.222,-1.05700004,-0.60100001,0.27399999,-0.93000001,0.131,0.012,0.026,-0.54299998,-0.61299998,-1.41499996,-0.101,-0.17399999,-0.24699999,-1.12100005,-2.93700004,0.008,1.19099998,-1.44599998
G90825_BP418161_RPLP2,0.52999997,0.118,-0.146,-0.16500001,0.456,-0.121,-0.77200001,-0.048,0.019,0.31099999,-1.17700005,0.48199999,-0.35499999,1.005,-0.17,0.46399999,1.08500004,-0.018,0.72000003,0.146,-0.44600001,-0.22,-0.51700002,0.565,0.62800002,-0.198,0.671,0.51999998,1.33500004,1.92299998,0.105
G90826_BI862219_APG3L,-0.19400001,0.61299998,0.171,0.54400003,0.37400001,-0.13600001,-0.92500001,-0.66600001,1.08599997,0.39500001,0.33500001,1.04299998,1.01600003,0.145,0.426,-0.625,0.50999999,-0.15800001,-0.17200001,-0.47499999,0.34799999,0.115,0.178,0.063,0.043,0.193,-0.87300003,1.83200002,0.006,-0.972,0.60299999
G90827_AL137272_HSPC117,-0.23100001,0.368,0.347,0.46799999,-0.228,-0.013,-0.347,-0.061,0.29699999,-0.154,0.81099999,-0.088,-0.15000001,0.917,-0.97100002,-0.243,-0.206,-0.213,0.146,0.26899999,-0.22,0.102,0.63,0.199,0.095,0.141,-0.54299998,0.456,-0.41999999,0.34900001,0.22
G90828_AK000641_SLC16A1,0.87900001,-1.15400004,0.61299998,1.03299999,0.077,0.40200001,0.044,-0.119,0.71899998,1.02600002,1.54200006,1.28799999,-1.32799995,-0.89999998,1.68499994,-0.528,0.79699999,-0.15000001,-0.18799999,1.23699999,-0.47499999,-0.164,0.493,0.95999998,0.055,-0.04,-1.42799997,-0.70899999,0.103,1.699,-0.236
G90829_0_0,0.176,0.91900003,-0.40200001,-0.25,-0.289,-0.389,0.77700001,0.75400001,0.34,0.486,0.84299999,-0.116,-0.51499999,-0.81900001,-0.05,-0.25,0.30500001,-0.145,-0.18700001,0.141,-0.27900001,-0.88200003,1.09200001,0.28099999,0.078,0.456,0.41299999,0.26699999,-0.347,0.14300001,-0.184
G90830_BQ434318_GNB2L1,0.64200002,0.141,0.461,0.148,0.244,-0.061,-0.51099998,0.058,1.22500002,0.68099999,-0.34799999,1.09000003,0.131,1.21599996,-0.04,0.426,1.35599995,0.64499998,0.493,0.12899999,-0.069,-0.63999999,0.141,0.48100001,0.315,0.324,0.713,0.69700003,0.58700001,1.90900004,0.2
G90831_BC043233_TTC18,-0.014,-1.00899994,-2.33999991,-1.03400004,-1.31900001,-0.278,0.047,0.016,-1.86099994,-0.75300002,-2.6730001,-0.72600001,0.234,-1.04400003,-0.56699997,0.20100001,-0.84600002,0.21600001,-0.016,0.199,-0.49200001,-0.46900001,-1.41799998,-0.05,-0.43799999,-0.094,-1.25999999,-2.46700001,-0.067,1.41400003,-1.05999994
G90832_BC042899_TMEM23,0.421,-0.12899999,1.60300004,0.55299997,1.34000003,0.083,0.30500001,-0.24699999,-1.04100001,0.81999999,0.50300002,1.10800004,0.85299999,0.071,0.88800001,-0.40799999,1.25,-2.023,-0.41299999,-0.067,1.00899994,0.935,-0.84299999,0.04,0.41100001,-0.096,1.079,0.86000001,-0.079,-0.491,1.00999999
G90833_0_0,0.028,-0.625,-0.759,-0.58700001,-0.58700001,-0.15800001,0.28200001,-0.117,-1.71500003,-0.43399999,-1.90699995,-0.84899998,-0.134,-1.16499996,-0.59500003,-0.118,-0.81999999,-0.40400001,-0.011,0.183,-0.73000002,0.001,-1.83399999,0.086,-0.76999998,-0.107,0.43599999,-1.95200002,-0.204,1.09399998,-1.14499998
